Matéria,Código,N_o,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Qtde Vagas Disponíveis,Local
TEORIA DE ELETRÔNICA DIGITAL 1,FGA0073,03,2025.1,LUIS FILOMENO DE JESUS FERNANDES (60h),35T45,80,27,53,FCTE - I9
TEORIA DE ELETRÔNICA DIGITAL 2,FGA0074,01,2025.1,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),35M34,45,19,26,FCTE - S8
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,01,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),2T4,15,13,2,FCTE - LAB MATERIAIS
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,02,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),4T4,15,4,11,FCTE - LAB MATERIAIS
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,03,2025.1,RODRIGO ARBEY MUNOZ MENESES (15h),4M3,15,9,6,FCTE - LAB MATERIAIS
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,04,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),4M5,15,9,6,FCTE - LAB MATERIAIS
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,08,2025.1,SANDRA MARIA DA LUZ (15h),2M2,15,14,1,FCTE - LAB MATERIAIS
LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,FGA0075,09,2025.1,SANDRA MARIA DA LUZ (15h),2M3,15,7,8,FCTE - LAB MATERIAIS
EQUIPAMENTOS TERMOFLUIDOS AUTOMOTIVOS,FGA0076,01,2025.1,"ALESSANDRO BORGES DE SOUSA OLIVEIRA (30h)
FABIO ALFAIA DA CUNHA (30h)",46M12,45,4,41,FCTE - I4
INTRODUÇÃO AO DESGASTE,FGA0077,01,2025.1,EDISON GUSTAVO CUEVA GALARRAGA (60h),35T23,15,2,13,FCTE - MULTIUSO
TEORIA DE MATERIAIS DE CONSTRUÇÃO,FGA0078,01,2025.1,EMMANUEL PACHECO ROCHA LIMA (45h),2T23 4T1,60,60,0,FCTE - I2
TEORIA DE MATERIAIS DE CONSTRUÇÃO,FGA0078,02,2025.1,RODRIGO ARBEY MUNOZ MENESES (45h),3T23 5T2,60,26,34,FCTE - I2
APRENDIZADO DE MÁQUINA,FGA0083,01,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),24M12,60,59,1,FCTE - I2
MATEMÁTICA DISCRETA 1,FGA0085,01,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),24M12,125,125,0,FCTE - S9
MATEMÁTICA DISCRETA 1,FGA0085,02,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),24M34,125,125,0,FCTE - S9 / S2
TEORIA DE ELETRICIDADE APLICADA,FGA0086,01,2025.1,JORGE ANDRES CORMANE ANGARITA (60h),24M12,45,44,1,FCTE - I8
TEORIA DE ELETRICIDADE APLICADA,FGA0086,02,2025.1,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),24T45,45,25,20,FCTE - S8
LABORATÓRIO DE ELETRICIDADE APLICADA,FGA0087,01,2025.1,JORGE ANDRES CORMANE ANGARITA (30h),2M34,20,20,0,FCTE - LAB ELET
LABORATÓRIO DE ELETRICIDADE APLICADA,FGA0087,02,2025.1,LOANA NUNES VELASCO (30h),6T23,20,5,15,FCTE - Laboratório de Eletricidade
LABORATÓRIO DE ELETRICIDADE APLICADA,FGA0087,03,2025.1,RUDI HENRI VAN ELS (30h),3T23,20,19,1,FCTE - LAB ELET
TEORIA DE SISTEMAS DE CONVERSÃO DE ENERGIA,FGA0088,01,2025.1,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),46M12,40,8,32,FCTE - S6
LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA,FGA0089,01,2025.1,RUDI HENRI VAN ELS (30h),4T45,20,4,16,FCTE - LAB ELET
LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA,FGA0089,02,2025.1,RUDI HENRI VAN ELS (30h),4T23,20,1,19,FCTE - LAB ELET
ONDULATÓRIA E FÍSICA TÉRMICA PARA ENGENHARIA,FGA0090,01,2025.1,EBERTH DE ALMEIDA CORREA (60h),35T23,45,15,30,FCTE - I1
MÁQUINAS DE FLUIDO,FGA0091,01,2025.1,"LUCIANO GONCALVES NOLETO (45h)
FELIPE CHAGAS STORTI (45h)",24M12 4T2,25,9,16,FCTE - I5 / LAB TERM
PRINCÍPIOS DE COMUNICAÇÃO PARA ENGENHARIA,FGA0092,01,2025.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (75h),3M125 5M12,35,31,4,FCTE - I2 / LAB SS / I2
PRINCÍPIOS DE CONTROLE,FGA0093,01,2025.1,ROBERTO DE SOUZA BAPTISTA (75h),3T123 5T23,35,23,12,FCTE - LAB SS / S6 (Abordagem em Eletrônica)
PRINCÍPIOS DE CONTROLE,FGA0093,02,2025.1,THIAGO FELIPPE KURUDEZ CORDEIRO (75h),46T23 5T1,35,34,1,FCTE - I5 / LAB SS / I5(Abordagem em Aeroespacial)
ANTENAS IMPRESSAS,FGA0094,01,2025.1,DANIEL COSTA ARAUJO (60h),35M12,20,3,17,FCTE - LDTEA 303
ELETRÔNICA DE RÁDIO FREQUÊNCIA,FGA0097,01,2025.1,WELLINGTON AVELINO DO AMARAL (60h),35T23,25,13,12,FCTE - LAB SS / LDTEA 303
PRÁTICA DE CIRCUITOS ELETRÔNICOS 3,FGA0098,01,2025.1,TIAGO MARTINS DE BRITO (30h),2T45,24,8,16,FCTE - LAB NEI 1
TEORIA DE CIRCUITOS ELETRÔNICOS 3,FGA0099,01,2025.1,WELLINGTON AVELINO DO AMARAL (60h),35T45,45,8,37,FCTE - S8
PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,FGA0100,01,2025.1,MARCUS VINICIUS BATISTUTA (30h),5M12,24,12,12,FCTE - LAB NEI 1
